Video_ID,Author,Published At,Comment,cleaned_comment
oYOYvoJqs4Q,@SuryanPanca,2025-02-24T11:09:28Z,"Orang yg suka mengertik presiden sepatutnya tinggalkan namanya saja buat apa tubuhnya ada diatas bumi ini kami rakyat sudah muak mendengarnya.<br><a href=""https://www.youtube.com/watch?v=oYOYvoJqs4Q&amp;t=284"">4:44</a>",orang suka mengertik presiden patut tinggal nama tubuh atas bumi rakyat muak mendengarnyabra href
oYOYvoJqs4Q,@MatnorJali,2025-02-24T11:03:56Z,Mantab bg,mantab bg
oYOYvoJqs4Q,@AriadinSaja,2025-02-24T10:44:18Z,"Salah sedikit jokowi, jangan2 you yang provokasi mahasewa.. nggak usah munafik Deddy",salah jokowi jangan2 you provokasi mahasewa nggak munafik deddy
oYOYvoJqs4Q,@Edikurniawan07,2025-02-24T10:32:04Z,"Kalau tau ya di sebut saja bos, urus selesaikan,biar gk adu mulut doank",kalau tau ya bos urus selesaikanbiar gk adu mulut doank
oYOYvoJqs4Q,@Edikurniawan07,2025-02-24T10:26:46Z,Berati demo karena terprofokasi ya 😂😂😂,berat demo terprofokasi ya
oYOYvoJqs4Q,@AbimanyuSasongko,2025-02-24T10:18:22Z,Marham🤣🤣🤣🤣🤣,marham
oYOYvoJqs4Q,@EliTarigan-n3r,2025-02-24T10:10:03Z,Kombir kau....jual obat,kombir jual obat
oYOYvoJqs4Q,@MuhammadZainul-i7r,2025-02-24T09:52:03Z,"para orang pinta ber adu, siapa yg paling pintar diyalah pemenangnya...",orang pinta ber adu pintar diyalah menang
oYOYvoJqs4Q,@FajarwrehatnalaKartika-v3e,2025-02-24T09:44:42Z,"Ekonomi melemah,demokrasi rusak hanya karna gibran",ekonomi melemahdemokrasi rusak karna gibran
oYOYvoJqs4Q,@FajarwrehatnalaKartika-v3e,2025-02-24T09:37:14Z,Demokrasi tidak berjalan semestinya,demokrasi jalan mesti
oYOYvoJqs4Q,@ahmadhusaini6265,2025-02-24T09:04:51Z,"Nggak jelas bapak ini ngomong, kan di Danantara ada investasi di berbagai bidang termasuk pendidikan",nggak ngomong danantara investasi bidang didik
oYOYvoJqs4Q,@Sartiman-b5y,2025-02-24T08:51:37Z,Ini coba kpk tolong d selidiki manusia sengkuni  dedi sitorus  adalah salah satu penyumbang  dana mahasewa ..ini snjing piataan PDIP. Harus d krangkeng supaya tidak bikin rabies,ini coba kpk tolong d selidik manusia sengkuni dedi sitorus salah sumbang dana mahasewa snjing piataan pdip harus d krangkeng bikin rabies
oYOYvoJqs4Q,@titiwahyu_98,2025-02-24T08:48:11Z,Apa anda termasuk jokower,apa jokower
oYOYvoJqs4Q,@c.hchanel6323,2025-02-24T08:21:00Z,iDRUS MARHAN kok jadi narsum? gimana ni TVone?,idrus marhan narsum gimana ni tvone
oYOYvoJqs4Q,@opikassegaf3689,2025-02-24T07:59:51Z,TANGKAP MULYONO DINASTY DAN OLIGARKI,tangkap mulyono dinasty dan oligarki
oYOYvoJqs4Q,@AzizMuklis,2025-02-24T07:45:29Z,Idrus marhan  nongol lg cri jbtn,idrus marhan nongol lg cri jbtn
oYOYvoJqs4Q,@bandindia6134,2025-02-24T07:45:27Z,"<a href=""https://www.youtube.com/watch?v=oYOYvoJqs4Q&amp;t=337"">5:37</a> <b>AHAHAHAHAHAHAHA</b>",a href bahahahahahahahab
oYOYvoJqs4Q,@BangYono-y8l,2025-02-24T07:41:00Z,Jokowi. Jos,jokowi jos
oYOYvoJqs4Q,@MochDhofir-c2x,2025-02-24T07:36:01Z,Anda itu yg provokator orang orang pdip itu baik pas partai anda jatuh,anda provokator orang orang pdip pas partai jatuh
